state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
38,North Dakota,2017,3228.4,millions_of_chained_2017_dollars,6,-17.34767025089605
38,North Dakota,2018,2993.4,millions_of_chained_2017_dollars,6,-7.279147565357458
38,North Dakota,2019,3138.1,millions_of_chained_2017_dollars,6,4.8339680630720805
38,North Dakota,2020,2845.2,millions_of_chained_2017_dollars,6,-9.333673241770502
38,North Dakota,2021,2715.3,millions_of_chained_2017_dollars,6,-4.565584141712343
38,North Dakota,2022,2466.5,millions_of_chained_2017_dollars,6,-9.162891761499658
38,North Dakota,2023,2593.9,millions_of_chained_2017_dollars,6,5.165213865801754
39,Ohio,2015,22497.8,millions_of_chained_2017_dollars,6,
39,Ohio,2016,23348.7,millions_of_chained_2017_dollars,6,3.7821475877641397
39,Ohio,2017,25111.1,millions_of_chained_2017_dollars,6,7.54817184682659
39,Ohio,2018,25069.9,millions_of_chained_2017_dollars,6,-0.16407086905789736
39,Ohio,2019,25609.4,millions_of_chained_2017_dollars,6,2.15198305537716
39,Ohio,2020,25303.7,millions_of_chained_2017_dollars,6,-1.1937023124321544
39,Ohio,2021,25555.1,millions_of_chained_2017_dollars,6,0.9935305903879588
39,Ohio,2022,23782.4,millions_of_chained_2017_dollars,6,-6.936775829482167
39,Ohio,2023,23601.9,millions_of_chained_2017_dollars,6,-0.7589646124865457
40,Oklahoma,2015,7787.6,millions_of_chained_2017_dollars,6,
40,Oklahoma,2016,7423,millions_of_chained_2017_dollars,6,-4.681801838820698
40,Oklahoma,2017,7165.7,millions_of_chained_2017_dollars,6,-3.4662535363060742
40,Oklahoma,2018,7218.1,millions_of_chained_2017_dollars,6,0.7312614259597838
40,Oklahoma,2019,7348.3,millions_of_chained_2017_dollars,6,1.8037987836134084
40,Oklahoma,2020,7253.2,millions_of_chained_2017_dollars,6,-1.2941768844494717
40,Oklahoma,2021,7266,millions_of_chained_2017_dollars,6,0.17647383223957647
40,Oklahoma,2022,6585.6,millions_of_chained_2017_dollars,6,-9.364161849710973
40,Oklahoma,2023,6570.4,millions_of_chained_2017_dollars,6,-0.23080660835763656
41,Oregon,2015,8338.2,millions_of_chained_2017_dollars,6,
41,Oregon,2016,9243.2,millions_of_chained_2017_dollars,6,10.853661461706366
41,Oregon,2017,10077.3,millions_of_chained_2017_dollars,6,9.023931106110417
