model,state_fips,state,n,rmse,mae,naive_rmse
log_lag_all,53,Washington,2,1072009.092597935,1023204.4241683446,494974.74683058326
log_lag_all,54,West Virginia,2,714827.018853129,523259.4476329377,447213.5954999579
log_lag_all,55,Wisconsin,2,389765.61480157106,365652.83578099683,1051189.802081432
log_lag_all,56,Wyoming,2,1016021.0236072363,804713.1792566008,974910.252279665
naive_prior_year,01,Alabama,2,254950.97567963923,250000,254950.97567963923
naive_prior_year,02,Alaska,2,191128.22920751397,157000,191128.22920751397
naive_prior_year,04,Arizona,2,1562049.935181331,1200000,1562049.935181331
naive_prior_year,05,Arkansas,2,1834393.632784414,1750000,1834393.632784414
naive_prior_year,06,California,2,1676305.461424021,1600000,1676305.461424021
naive_prior_year,08,Colorado,2,1070046.727951635,850000,1070046.727951635
naive_prior_year,09,Connecticut,2,424264.0687119285,300000,424264.0687119285
naive_prior_year,12,Florida,2,4210700.65428546,4200000,4210700.65428546
naive_prior_year,13,Georgia,2,3166228.039797513,3050000,3166228.039797513
naive_prior_year,15,Hawaii,2,526545.3446760307,485000,526545.3446760307
naive_prior_year,16,Idaho,2,185607.11193270585,185000,185607.11193270585
naive_prior_year,17,Illinois,2,2538700.4549572207,2150000,2538700.4549572207
naive_prior_year,18,Indiana,2,2024845.6731316587,1700000,2024845.6731316587
naive_prior_year,19,Iowa,2,1106797.1810589328,1050000,1106797.1810589328
naive_prior_year,20,Kansas,2,353553.39059327374,350000,353553.39059327374
naive_prior_year,21,Kentucky,2,2256102.8345356956,2200000,2256102.8345356956
naive_prior_year,23,Maine,2,220000,220000,220000
naive_prior_year,24,Maryland,2,1012422.8365658293,950000,1012422.8365658293
naive_prior_year,25,Massachusetts,2,452769.2569068708,450000,452769.2569068708
naive_prior_year,26,Michigan,2,2154065.9228538014,2000000,2154065.9228538014
naive_prior_year,27,Minnesota,2,449444.10108488466,420000,449444.10108488466
naive_prior_year,28,Mississippi,2,502195.1811795888,490000,502195.1811795888
naive_prior_year,29,Missouri,2,670820.3932499369,600000,670820.3932499369
naive_prior_year,30,Montana,2,10000,10000,10000
naive_prior_year,32,Nevada,2,121655.2506059644,120000,121655.2506059644
naive_prior_year,33,New Hampshire,2,58309.518948453006,50000,58309.518948453006
naive_prior_year,34,New Jersey,2,640312.4237432849,500000,640312.4237432849
naive_prior_year,35,New Mexico,2,447493.01670528896,435000,447493.01670528896
naive_prior_year,36,New York,2,1000000,800000,1000000
naive_prior_year,37,North Carolina,2,2912902.3327259016,2250000,2912902.3327259016
naive_prior_year,38,North Dakota,2,70359.78965289763,54500,70359.78965289763
naive_prior_year,39,Ohio,2,2438237.068047322,2350000,2438237.068047322
naive_prior_year,40,Oklahoma,2,1166190.37896906,1000000,1166190.37896906
naive_prior_year,41,Oregon,2,2507987.2407968906,2300000,2507987.2407968906
naive_prior_year,42,Pennsylvania,2,2608639.4921491165,2550000,2608639.4921491165
naive_prior_year,44,Rhode Island,2,248696.60230891776,215000,248696.60230891776
naive_prior_year,45,South Carolina,2,2079663.4343085422,1850000,2079663.4343085422
naive_prior_year,46,South Dakota,2,441418.16908686486,435000,441418.16908686486
naive_prior_year,47,Tennessee,2,2785677.655436824,2600000,2785677.655436824
naive_prior_year,48,Texas,2,8514693.1829632,6500000,8514693.1829632
naive_prior_year,49,Utah,2,930053.7618869137,750000,930053.7618869137
naive_prior_year,50,Vermont,2,172191.75357722564,155000,172191.75357722564
naive_prior_year,51,Virginia,2,2885307.6092507015,2550000,2885307.6092507015
naive_prior_year,53,Washington,2,494974.74683058326,350000,494974.74683058326
naive_prior_year,54,West Virginia,2,447213.5954999579,400000,447213.5954999579
naive_prior_year,55,Wisconsin,2,1051189.802081432,950000,1051189.802081432
naive_prior_year,56,Wyoming,2,974910.252279665,815000,974910.252279665
ridge_0.01,01,Alabama,2,2031714.33754114,2014206.2731220797,254950.97567963923
ridge_0.01,02,Alaska,2,162263.54668022017,155293.89637906075,191128.22920751397
ridge_0.01,04,Arizona,2,1254419.8332107854,1228835.8183239438,1562049.935181331
ridge_0.01,05,Arkansas,2,2277138.848441476,1821792.5640042145,1834393.632784414
ridge_0.01,06,California,2,721971.8885544579,606707.4907974973,1676305.461424021
ridge_0.01,08,Colorado,2,1713512.7308738483,1536532.4510918986,1070046.727951635
ridge_0.01,09,Connecticut,2,607745.4216818972,557034.223866025,424264.0687119285
ridge_0.01,12,Florida,2,1967867.1728350606,1932316.8473660797,4210700.65428546
ridge_0.01,13,Georgia,2,1268285.473450648,1111497.114870172,3166228.039797513
ridge_0.01,15,Hawaii,2,511957.2523106647,489062.18522196915,526545.3446760307
ridge_0.01,16,Idaho,2,248402.03410223726,184330.9109451603,185607.11193270585
ridge_0.01,17,Illinois,2,2816716.5461323285,2020089.7049337588,2538700.4549572207
ridge_0.01,18,Indiana,2,1203194.9061136798,1199287.469304189,2024845.6731316587
ridge_0.01,19,Iowa,2,1726318.5928574551,1696049.2663704492,1106797.1810589328
ridge_0.01,20,Kansas,2,556879.6724787729,545550.61877409,353553.39059327374
ridge_0.01,21,Kentucky,2,980566.2013050213,878763.969723545,2256102.8345356956
ridge_0.01,23,Maine,2,260247.05029845264,260077.79931478994,220000
ridge_0.01,24,Maryland,2,1414135.5137939444,1394666.3241941128,1012422.8365658293
ridge_0.01,25,Massachusetts,2,490220.17100365646,451281.7185828835,452769.2569068708
ridge_0.01,26,Michigan,2,2405178.472202987,1948923.1984737664,2154065.9228538014
ridge_0.01,27,Minnesota,2,593357.4402191148,427774.88762916997,449444.10108488466
ridge_0.01,28,Mississippi,2,520347.3023211662,508976.6926529459,502195.1811795888
ridge_0.01,29,Missouri,2,3499554.863873584,3437153.658458516,670820.3932499369
ridge_0.01,30,Montana,2,15255.74056061767,15229.247162430082,10000
ridge_0.01,32,Nevada,2,356869.62347472366,347895.3081722325,121655.2506059644
ridge_0.01,33,New Hampshire,2,92783.65971383681,66311.74609187944,58309.518948453006
ridge_0.01,34,New Jersey,2,329158.9927059319,319567.2766957469,640312.4237432849
ridge_0.01,35,New Mexico,2,468447.83296105417,460520.0443543205,447493.01670528896
ridge_0.01,36,New York,2,925046.0550570362,915456.4182506353,1000000
ridge_0.01,37,North Carolina,2,2351575.3802187894,1996017.4555442259,2912902.3327259016
ridge_0.01,38,North Dakota,2,79088.24551867825,57730.25453873357,70359.78965289763
ridge_0.01,39,Ohio,2,3319740.9945158917,2802980.3819901794,2438237.068047322
ridge_0.01,40,Oklahoma,2,1954528.8785574106,1822250.2176941074,1166190.37896906
ridge_0.01,41,Oregon,2,2251639.996326348,2251580.2295146883,2507987.2407968906
ridge_0.01,42,Pennsylvania,2,4885341.168574905,4880741.937913813,2608639.4921491165
ridge_0.01,44,Rhode Island,2,325838.50194778014,244342.41214685456,248696.60230891776
ridge_0.01,45,South Carolina,2,936717.9139717178,934140.5805175565,2079663.4343085422
ridge_0.01,46,South Dakota,2,503497.21810245846,408236.0873312806,441418.16908686486
ridge_0.01,47,Tennessee,2,4188323.8035134887,3348272.3188609183,2785677.655436824
ridge_0.01,48,Texas,2,9237781.350679167,6910242.395218894,8514693.1829632
ridge_0.01,49,Utah,2,1284152.3161651804,1065650.6613630662,930053.7618869137
ridge_0.01,50,Vermont,2,159983.52364692357,145327.98436591262,172191.75357722564
ridge_0.01,51,Virginia,2,4171696.997773426,3288604.22627382,2885307.6092507015
ridge_0.01,53,Washington,2,1072922.402005066,1024209.6310784686,494974.74683058326
ridge_0.01,54,West Virginia,2,715214.7201939,523933.0482157422,447213.5954999579
ridge_0.01,55,Wisconsin,2,389917.730898905,365563.01415723935,1051189.802081432
ridge_0.01,56,Wyoming,2,1016183.4728571462,804665.5377542991,974910.252279665
sameyear_pooled_log,01,Alabama,2,21963549.485946763,21912764.703153465,254950.97567963923
sameyear_pooled_log,02,Alaska,2,4265086.179316935,4252534.143211849,191128.22920751397
sameyear_pooled_log,04,Arizona,2,19361311.96929593,19361311.266235963,1562049.935181331
sameyear_pooled_log,05,Arkansas,2,12185213.43612816,12169253.412549488,1834393.632784414
sameyear_pooled_log,06,California,2,91764475.75571956,91711419.77955362,1676305.461424021
sameyear_pooled_log,08,Colorado,2,17021394.81945862,16842222.396251343,1070046.727951635
sameyear_pooled_log,09,Connecticut,2,3438217.699549434,3421001.0978950476,424264.0687119285
sameyear_pooled_log,12,Florida,2,77011240.28104775,76771875.8520978,4210700.65428546
sameyear_pooled_log,13,Georgia,2,13663355.801638084,13593478.82760109,3166228.039797513
sameyear_pooled_log,15,Hawaii,2,1921147.7008567702,1704814.2046493161,526545.3446760307
sameyear_pooled_log,16,Idaho,2,9671820.68309883,9671510.18818245,185607.11193270585
sameyear_pooled_log,17,Illinois,2,5721669.676553133,5433511.292259473,2538700.4549572207
sameyear_pooled_log,18,Indiana,2,18748663.259694796,18747758.378532592,2024845.6731316587
sameyear_pooled_log,19,Iowa,2,15479071.62927418,15476217.824823927,1106797.1810589328
sameyear_pooled_log,20,Kansas,2,2487618.056798089,1882011.4515225077,353553.39059327374
sameyear_pooled_log,21,Kentucky,2,30966281.586766656,30966184.769819163,2256102.8345356956
sameyear_pooled_log,23,Maine,2,3874330.54464012,3873870.498628002,220000
sameyear_pooled_log,24,Maryland,2,1935253.2890674502,1617455.1556799281,1012422.8365658293
sameyear_pooled_log,25,Massachusetts,2,8015494.722299353,8003391.588196851,452769.2569068708
sameyear_pooled_log,26,Michigan,2,3029589.83088763,3026987.6738878787,2154065.9228538014
sameyear_pooled_log,27,Minnesota,2,19730728.085472055,19729945.63142956,449444.10108488466
sameyear_pooled_log,28,Mississippi,2,9559748.142891489,9534291.339295514,502195.1811795888
sameyear_pooled_log,29,Missouri,2,62051824.47993649,62051350.376365975,670820.3932499369
sameyear_pooled_log,30,Montana,2,4826129.784204314,4825849.5564056765,10000
sameyear_pooled_log,32,Nevada,2,6653473.979657269,6653151.298389053,121655.2506059644
sameyear_pooled_log,33,New Hampshire,2,598461.6468889493,501884.66248852527,58309.518948453006
sameyear_pooled_log,34,New Jersey,2,26489408.445191618,26134976.042707805,640312.4237432849
sameyear_pooled_log,35,New Mexico,2,6063806.568524959,6033877.162687085,447493.01670528896
sameyear_pooled_log,36,New York,2,33329472.46588218,33220187.038998976,1000000
sameyear_pooled_log,37,North Carolina,2,29069929.416254636,28945552.57265716,2912902.3327259016
sameyear_pooled_log,38,North Dakota,2,5904045.251199021,5897975.973929612,70359.78965289763
