state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
27,Minnesota,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
27,Minnesota,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
28,Mississippi,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
28,Mississippi,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
28,Mississippi,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
29,Missouri,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
29,Missouri,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
30,Montana,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
30,Montana,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
30,Montana,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
31,Nebraska,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
31,Nebraska,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
31,Nebraska,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
31,Nebraska,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
31,Nebraska,2019,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
31,Nebraska,2020,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
31,Nebraska,2021,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
31,Nebraska,2022,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
31,Nebraska,2023,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
32,Nevada,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
32,Nevada,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
32,Nevada,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
33,New Hampshire,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
