state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity
38,2023,0,0,0,0,TRUE,TRUE,TRUE
39,2015,101,664,1305005,101,FALSE,TRUE,TRUE
39,2016,101,668,1278726,101,FALSE,TRUE,TRUE
39,2017,101,714,1296357,101,FALSE,TRUE,TRUE
39,2018,101,737,1380183,101,FALSE,TRUE,TRUE
39,2019,102,760,1389102,102,FALSE,TRUE,TRUE
39,2020,98,720,1330576,98,FALSE,TRUE,TRUE
39,2021,96,698,1300744,96,FALSE,TRUE,TRUE
39,2022,103,778,1360944,103,FALSE,TRUE,TRUE
39,2023,104,742,1391431,104,FALSE,TRUE,TRUE
40,2015,142,1277,2628628,142,FALSE,TRUE,TRUE
40,2016,145,1287,2675283,145,FALSE,TRUE,TRUE
40,2017,147,1257,2481407,147,FALSE,TRUE,TRUE
40,2018,149,1221,2418089,149,FALSE,TRUE,TRUE
40,2019,147,1201,2297670,147,FALSE,TRUE,TRUE
40,2020,144,1197,2325128,144,FALSE,TRUE,TRUE
40,2021,145,1431,2929947,145,FALSE,TRUE,TRUE
40,2022,141,1478,3072892,141,FALSE,TRUE,TRUE
40,2023,140,1457,3068091,140,FALSE,TRUE,TRUE
41,2015,155,752,1131787,155,FALSE,TRUE,TRUE
41,2016,166,812,1238037,166,FALSE,TRUE,TRUE
41,2017,164,780,1252879,164,FALSE,TRUE,TRUE
41,2018,164,823,1393518,164,FALSE,TRUE,TRUE
41,2019,168,840,1293329,168,FALSE,TRUE,TRUE
41,2020,158,810,1368628,158,FALSE,TRUE,TRUE
41,2021,165,821,1300118,165,FALSE,TRUE,TRUE
41,2022,165,829,1388850,165,FALSE,TRUE,TRUE
41,2023,173,825,1370923,173,FALSE,TRUE,TRUE
42,2015,373,2249,4071947,373,FALSE,TRUE,TRUE
42,2016,363,2249,4154588,363,FALSE,TRUE,TRUE
42,2017,361,2172,3967459,361,FALSE,TRUE,TRUE
42,2018,363,2204,3942627,363,FALSE,TRUE,TRUE
42,2019,354,2213,3985624,354,FALSE,TRUE,TRUE
42,2020,357,2236,3797931,357,FALSE,TRUE,TRUE
42,2021,353,2313,3857438,353,FALSE,TRUE,TRUE
42,2022,357,2367,4016807,357,FALSE,TRUE,TRUE
42,2023,345,2213,4098656,345,FALSE,TRUE,TRUE
44,2015,10,67,101868,10,FALSE,TRUE,TRUE
44,2016,10,69,118163,10,FALSE,TRUE,TRUE
44,2017,10,65,125663,10,FALSE,TRUE,TRUE
44,2018,10,51,102627,10,FALSE,TRUE,TRUE
44,2019,10,57,109174,10,FALSE,TRUE,TRUE
44,2020,13,77,138790,13,FALSE,TRUE,TRUE
44,2021,14,73,144832,14,FALSE,TRUE,TRUE
44,2022,14,82,178663,14,FALSE,TRUE,TRUE
44,2023,14,87,162585,14,FALSE,TRUE,TRUE
45,2015,36,266,561828,36,FALSE,TRUE,TRUE
45,2016,38,322,716059,38,FALSE,TRUE,TRUE
45,2017,37,327,752285,37,FALSE,TRUE,TRUE
45,2018,39,354,756333,39,FALSE,TRUE,TRUE
45,2019,40,345,755798,40,FALSE,TRUE,TRUE
45,2020,39,344,719241,39,FALSE,TRUE,TRUE
45,2021,40,346,737977,40,FALSE,TRUE,TRUE
45,2022,40,362,820945,40,FALSE,TRUE,TRUE
45,2023,42,391,860725,42,FALSE,TRUE,TRUE
46,2015,18,228,437631,18,FALSE,TRUE,TRUE
46,2016,16,214,436581,16,FALSE,TRUE,TRUE
46,2017,18,229,434144,18,FALSE,TRUE,TRUE
46,2018,17,217,420090,17,FALSE,TRUE,TRUE
46,2019,15,194,395462,15,FALSE,TRUE,TRUE
46,2020,17,199,429219,17,FALSE,TRUE,TRUE
46,2021,15,197,404555,15,FALSE,TRUE,TRUE
46,2022,17,206,399087,17,FALSE,TRUE,TRUE
46,2023,17,223,424948,17,FALSE,TRUE,TRUE
47,2015,161,805,1260729,161,FALSE,TRUE,TRUE
47,2016,166,850,1385302,166,FALSE,TRUE,TRUE
47,2017,172,828,1420207,172,FALSE,TRUE,TRUE
47,2018,182,860,1466907,182,FALSE,TRUE,TRUE
47,2019,189,944,1613546,189,FALSE,TRUE,TRUE
47,2020,193,942,1629656,193,FALSE,TRUE,TRUE
47,2021,188,995,1774595,188,FALSE,TRUE,TRUE
47,2022,196,1152,2046419,196,FALSE,TRUE,TRUE
47,2023,210,1245,2158520,210,FALSE,TRUE,TRUE
48,2015,363,3676,8177636,363,FALSE,TRUE,TRUE
48,2016,369,3764,8348596,369,FALSE,TRUE,TRUE
48,2017,399,4007,8754823,399,FALSE,TRUE,TRUE
48,2018,411,3886,8587642,411,FALSE,TRUE,TRUE
48,2019,415,4058,9229569,415,FALSE,TRUE,TRUE
48,2020,412,4027,8893512,412,FALSE,TRUE,TRUE
48,2021,390,3952,8876772,390,FALSE,TRUE,TRUE
48,2022,382,4097,9395141,382,FALSE,TRUE,TRUE
48,2023,373,4187,9542215,373,FALSE,TRUE,TRUE
49,2015,26,218,348063,26,FALSE,TRUE,TRUE
49,2016,22,204,315924,22,FALSE,TRUE,TRUE
49,2017,25,198,305439,25,FALSE,TRUE,TRUE
49,2018,27,226,369374,27,FALSE,TRUE,TRUE
49,2019,24,197,319805,24,FALSE,TRUE,TRUE
49,2020,24,210,336187,24,FALSE,TRUE,TRUE
49,2021,22,225,363125,22,FALSE,TRUE,TRUE
49,2022,23,233,409180,23,FALSE,TRUE,TRUE
49,2023,22,250,414084,22,FALSE,TRUE,TRUE
50,2015,101,384,599623,101,FALSE,TRUE,TRUE
50,2016,100,384,607159,100,FALSE,TRUE,TRUE
50,2017,101,368,566679,101,FALSE,TRUE,TRUE
50,2018,103,410,602823,103,FALSE,TRUE,TRUE
50,2019,106,415,624591,106,FALSE,TRUE,TRUE
50,2020,99,410,611034,99,FALSE,TRUE,TRUE
50,2021,94,371,581975,94,FALSE,TRUE,TRUE
50,2022,94,390,615336,94,FALSE,TRUE,TRUE
50,2023,95,428,680500,95,FALSE,TRUE,TRUE
51,2015,97,696,1496942,97,FALSE,TRUE,TRUE
51,2016,96,729,1565750,96,FALSE,TRUE,TRUE
51,2017,98,729,1539535,98,FALSE,TRUE,TRUE
51,2018,97,747,1538585,97,FALSE,TRUE,TRUE
51,2019,97,756,1528503,97,FALSE,TRUE,TRUE
51,2020,92,702,1434480,92,FALSE,TRUE,TRUE
51,2021,93,698,1447986,93,FALSE,TRUE,TRUE
51,2022,92,712,1465460,92,FALSE,TRUE,TRUE
51,2023,95,719,1507755,95,FALSE,TRUE,TRUE
53,2015,79,392,563667,79,FALSE,TRUE,TRUE
53,2016,84,444,608745,84,FALSE,TRUE,TRUE
53,2017,85,427,646527,85,FALSE,TRUE,TRUE
53,2018,85,379,590884,85,FALSE,TRUE,TRUE
53,2019,83,388,629159,83,FALSE,TRUE,TRUE
53,2020,83,373,595175,83,FALSE,TRUE,TRUE
53,2021,85,393,629809,85,FALSE,TRUE,TRUE
53,2022,82,386,632780,82,FALSE,TRUE,TRUE
53,2023,82,411,660430,82,FALSE,TRUE,TRUE
54,2015,24,198,390445,24,FALSE,TRUE,TRUE
54,2016,24,206,388832,24,FALSE,TRUE,TRUE
54,2017,24,188,364545,24,FALSE,TRUE,TRUE
54,2018,25,195,378749,25,FALSE,TRUE,TRUE
54,2019,24,221,411716,24,FALSE,TRUE,TRUE
54,2020,29,272,475768,29,FALSE,TRUE,TRUE
54,2021,28,256,454378,28,FALSE,TRUE,TRUE
54,2022,28,267,444775,28,FALSE,TRUE,TRUE
54,2023,28,267,477358,28,FALSE,TRUE,TRUE
55,2015,192,850,1494949,192,FALSE,TRUE,TRUE
55,2016,192,825,1447451,192,FALSE,TRUE,TRUE
55,2017,196,862,1505309,196,FALSE,TRUE,TRUE
55,2018,197,934,1595261,197,FALSE,TRUE,TRUE
55,2019,196,940,1696465,196,FALSE,TRUE,TRUE
55,2020,196,955,1720296,196,FALSE,TRUE,TRUE
55,2021,202,1033,1832013,202,FALSE,TRUE,TRUE
55,2022,198,1082,1960876,198,FALSE,TRUE,TRUE
55,2023,198,1073,1956222,198,FALSE,TRUE,TRUE
56,2015,8,70,147883,8,FALSE,TRUE,TRUE
56,2016,9,82,162838,9,FALSE,TRUE,TRUE
56,2017,10,85,169296,10,FALSE,TRUE,TRUE
56,2018,10,108,223840,10,FALSE,TRUE,TRUE
56,2019,11,114,248726,11,FALSE,TRUE,TRUE
56,2020,12,129,276259,12,FALSE,TRUE,TRUE
56,2021,12,129,276790,12,FALSE,TRUE,TRUE
56,2022,9,122,267965,9,FALSE,TRUE,TRUE
56,2023,10,122,265907,10,FALSE,TRUE,TRUE
