state_fips,year,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd
51,2015,21812.4,498943.6,433088.2
51,2016,22406.8,505107.7,444691.4
51,2017,23295.5,515167.2,462372.2
51,2018,23424.5,527767.5,479766.6
51,2019,24028.6,541028,501770.8
51,2020,24451.1,535224.4,530771.6
51,2021,25055.9,565790.7,582077.9
51,2022,23703,579301.8,604039.5
51,2023,23706.8,599261,645405.9
53,2015,19294.5,476715.4,376360.8
53,2016,21198.2,495724.9,397270.6
53,2017,22953.2,527169.4,423017.2
53,2018,24997.8,561785.7,451609.2
53,2019,25133.2,588794.4,484540.9
53,2020,24715.4,587167.8,522862.2
53,2021,25835.8,626122.2,572644.9
53,2022,24036.8,643017.6,592733
53,2023,23113.5,670977.8,637129.4
54,2015,3650.9,74261.4,68437.8
54,2016,3243.8,73513.3,68067.9
54,2017,3454.4,75172.4,70797.6
54,2018,4766.9,77406.5,74235
54,2019,3808.1,77162.2,76725
54,2020,3004.3,74729.6,80440.3
54,2021,2991,76230.8,87322.5
54,2022,2627.5,77549.1,88990.1
54,2023,2780.4,80364.9,93771
55,2015,12398.5,315687.8,266132
55,2016,12804.8,319272.3,270846.6
55,2017,13297.1,321886.8,281979.5
55,2018,13728.6,328832.4,295996.8
55,2019,13909,333256.8,307947.5
55,2020,13805.7,324014.4,327298.4
55,2021,14088.5,334848.6,357005.4
55,2022,13087,341875.2,365050.1
55,2023,13173.9,347108.2,384719.8
56,2015,2414.1,40063.9,32755.6
56,2016,2147.4,37853.5,31090.1
56,2017,1936.4,37620.3,32487.4
56,2018,1978.7,37977.2,34025.2
56,2019,2250.1,38577.1,35585.6
56,2020,2113.3,36463.5,37602.9
56,2021,2088.7,37182.6,41420.5
56,2022,1892.6,37690.6,45259.3
56,2023,1965.9,39843.2,48583
