state_fips,year,private_nonresidential_nominal_million_usd,private_nonresidential_nominal_million_usd_source_file,state_local_construction_nominal_million_usd,state_local_construction_nominal_million_usd_source_file
40,2018,3848,nrstatehs1,3701,slstatehs
40,2019,4297,nrstatehs1,4339,slstatehs
40,2020,3308,nrstatehs1,3767,slstatehs
40,2021,3879,nrstatehs1,3728,slstatehs
40,2022,4529,nrstate,4685,slstate
40,2023,4657,nrstate,5460,slstate
41,2015,3375,nrstatehs1,2429,slstatehs
41,2016,3498,nrstatehs1,2793,slstatehs
41,2017,3858,nrstatehs1,3882,slstatehs
41,2018,4387,nrstatehs1,4591,slstatehs
41,2019,5244,nrstatehs1,4860,slstatehs
41,2020,6319,nrstatehs1,5260,slstatehs
41,2021,4951,nrstatehs1,5440,slstatehs
41,2022,5133,nrstate,6395,slstate
41,2023,4304,nrstate,7195,slstate
42,2015,7640,nrstatehs1,9280,slstatehs
42,2016,7138,nrstatehs1,8406,slstatehs
42,2017,8245,nrstatehs1,7470,slstatehs
42,2018,12638,nrstatehs1,8141,slstatehs
42,2019,13214,nrstatehs1,9698,slstatehs
42,2020,11843,nrstatehs1,9268,slstatehs
42,2021,11875,nrstatehs1,8752,slstatehs
42,2022,11819,nrstate,9860,slstate
42,2023,12123,nrstate,12134,slstate
44,2015,500,nrstatehs1,573,slstatehs
44,2016,530,nrstatehs1,648,slstatehs
44,2017,874,nrstatehs1,553,slstatehs
44,2018,1187,nrstatehs1,721,slstatehs
44,2019,1517,nrstatehs1,813,slstatehs
44,2020,1202,nrstatehs1,855,slstatehs
44,2021,637,nrstatehs1,807,slstatehs
44,2022,707,nrstate,898,slstate
44,2023,963,nrstate,974,slstate
45,2015,3420,nrstatehs1,2853,slstatehs
45,2016,5141,nrstatehs1,4559,slstatehs
45,2017,5639,nrstatehs1,4989,slstatehs
45,2018,6464,nrstatehs1,5231,slstatehs
45,2019,5765,nrstatehs1,4788,slstatehs
45,2020,3780,nrstatehs1,4636,slstatehs
45,2021,4300,nrstatehs1,3834,slstatehs
45,2022,3693,nrstate,4291,slstate
45,2023,5327,nrstate,5213,slstate
46,2015,646,nrstatehs1,1259,slstatehs
46,2016,959,nrstatehs1,1495,slstatehs
46,2017,1602,nrstatehs1,1223,slstatehs
46,2018,2304,nrstatehs1,920,slstatehs
46,2019,1441,nrstatehs1,1525,slstatehs
46,2020,887,nrstatehs1,1950,slstatehs
46,2021,1076,nrstatehs1,2463,slstatehs
46,2022,1929,nrstate,1745,slstate
46,2023,1857,nrstate,3004,slstate
47,2015,5271,nrstatehs1,3326,slstatehs
47,2016,5037,nrstatehs1,3367,slstatehs
47,2017,6090,nrstatehs1,3565,slstatehs
47,2018,6912,nrstatehs1,3673,slstatehs
47,2019,7837,nrstatehs1,5453,slstatehs
47,2020,8814,nrstatehs1,5504,slstatehs
47,2021,9497,nrstatehs1,4349,slstatehs
47,2022,13728,nrstate,4589,slstate
47,2023,14940,nrstate,6383,slstate
48,2015,46334,nrstatehs1,26951,slstatehs
48,2016,52075,nrstatehs1,28084,slstatehs
48,2017,45980,nrstatehs1,31623,slstatehs
48,2018,41387,nrstatehs1,33705,slstatehs
48,2019,48643,nrstatehs1,36518,slstatehs
48,2020,52773,nrstatehs1,41049,slstatehs
48,2021,52561,nrstatehs1,40341,slstatehs
48,2022,65142,nrstate,44295,slstate
48,2023,91296,nrstate,51079,slstate
49,2015,1847,nrstatehs1,3647,slstatehs
49,2016,2027,nrstatehs1,2977,slstatehs
49,2017,2482,nrstatehs1,3371,slstatehs
49,2018,2081,nrstatehs1,3789,slstatehs
49,2019,2407,nrstatehs1,4490,slstatehs
49,2020,2855,nrstatehs1,5373,slstatehs
49,2021,3270,nrstatehs1,5103,slstatehs
49,2022,3563,nrstate,5351,slstate
49,2023,4758,nrstate,9235,slstate
50,2015,440,nrstatehs1,279,slstatehs
50,2016,542,nrstatehs1,253,slstatehs
50,2017,605,nrstatehs1,519,slstatehs
50,2018,447,nrstatehs1,615,slstatehs
50,2019,382,nrstatehs1,192,slstatehs
50,2020,286,nrstatehs1,339,slstatehs
50,2021,316,nrstatehs1,819,slstatehs
50,2022,434,nrstate,667,slstate
50,2023,452,nrstate,597,slstate
51,2015,4023,nrstatehs1,6321,slstatehs
51,2016,5386,nrstatehs1,5959,slstatehs
51,2017,6838,nrstatehs1,6118,slstatehs
51,2018,7256,nrstatehs1,7339,slstatehs
51,2019,8251,nrstatehs1,7812,slstatehs
51,2020,9550,nrstatehs1,7877,slstatehs
51,2021,9147,nrstatehs1,8968,slstatehs
51,2022,12468,nrstate,9026,slstate
51,2023,15522,nrstate,10751,slstate
53,2015,6824,nrstatehs1,7828,slstatehs
53,2016,7069,nrstatehs1,9688,slstatehs
53,2017,7744,nrstatehs1,11013,slstatehs
53,2018,8229,nrstatehs1,10728,slstatehs
53,2019,7297,nrstatehs1,13050,slstatehs
53,2020,6620,nrstatehs1,12730,slstatehs
53,2021,8626,nrstatehs1,12648,slstatehs
53,2022,9896,nrstate,12451,slstate
53,2023,11494,nrstate,12491,slstate
54,2015,494,nrstatehs1,1448,slstatehs
54,2016,321,nrstatehs1,1340,slstatehs
54,2017,286,nrstatehs1,1504,slstatehs
54,2018,498,nrstatehs1,1134,slstatehs
54,2019,602,nrstatehs1,1899,slstatehs
54,2020,477,nrstatehs1,2082,slstatehs
54,2021,595,nrstatehs1,1721,slstatehs
54,2022,949,nrstate,1565,slstate
54,2023,1148,nrstate,2416,slstate
55,2015,3852,nrstatehs1,4809,slstatehs
55,2016,3739,nrstatehs1,5620,slstatehs
55,2017,4174,nrstatehs1,5762,slstatehs
55,2018,5476,nrstatehs1,5143,slstatehs
55,2019,6536,nrstatehs1,6062,slstatehs
55,2020,7562,nrstatehs1,6275,slstatehs
55,2021,5903,nrstatehs1,6259,slstatehs
55,2022,6000,nrstate,6737,slstate
55,2023,6879,nrstate,8799,slstate
56,2015,946,nrstatehs1,1590,slstatehs
56,2016,585,nrstatehs1,1472,slstatehs
56,2017,474,nrstatehs1,971,slstatehs
56,2018,351,nrstatehs1,876,slstatehs
56,2019,479,nrstatehs1,774,slstatehs
56,2020,676,nrstatehs1,691,slstatehs
56,2021,792,nrstatehs1,871,slstatehs
56,2022,769,nrstate,1325,slstate
56,2023,783,nrstate,1383,slstate
