fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Indiana,2023,2096678,1676896,18,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2015,1008054,829577,19,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2016,928893,777303,19,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2017,1034361,821843,19,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2018,1102172,928657,19,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2019,1011405,830970,19,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2020,1224020,1044858,19,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2021,1279174,1110913,19,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2022,1207421,1061301,19,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Iowa,2023,1243759,1088482,19,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2015,768163,651270,20,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2016,780185,662383,20,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2017,448251,401937,20,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2018,481822,424101,20,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2019,445765,378465,20,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2020,676149,599978,20,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2021,783416,638830,20,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2022,1036860,871784,20,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kansas,2023,1440388,1207696,20,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2015,1734109,1417034,21,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2016,1657291,1315383,21,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2017,1370672,992711,21,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2018,1167549,836463,21,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2019,1293161,919490,21,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2020,1379455,985215,21,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2021,1297833,940760,21,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2022,1516610,1100524,21,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Kentucky,2023,1683107,1257678,21,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2015,1056379,969518,22,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2016,1088686,996536,22,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2017,1151091,1041930,22,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2018,860465,775584,22,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2019,886746,809487,22,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2020,971945,889121,22,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2021,1022700,921081,22,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2022,1190251,1062780,22,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Louisiana,2023,1280139,1185604,22,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2015,406176,331928,23,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2016,423579,346376,23,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2017,509858,426604,23,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2018,440207,356535,23,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2019,486290,401574,23,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2020,597663,509402,23,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2021,528309,441556,23,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2022,533693,465466,23,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maine,2023,567590,499757,23,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2015,1370582,1084246,24,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2016,1411409,1061575,24,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2017,1451730,1146180,24,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2018,1548445,1241685,24,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2019,1520245,1260444,24,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2020,1590609,1324873,24,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2021,1233482,1075306,24,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2022,1239236,1082897,24,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Maryland,2023,1250208,1078069,24,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts  3/,2015,1064039,887053,25,2011,3,FALSE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts  3/,2016,1064039,887053,25,2011,3,FALSE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts,2017,1756843,1516896,25,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts  3/,2018,1756843,1516896,25,2017,3,FALSE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts,2019,877552,771099,25,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts  (3),2020,877552,771099,25,2019,3,FALSE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts,2021,1080845,966839,25,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts,2022,974656,817912,25,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Massachusetts,2023,1089003,904146,25,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2015,1082544,1016513,26,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2016,1018096,921212,26,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2017,1235729,1085279,26,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2018,1231419,1164647,26,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2019,1453437,1382296,26,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2020,1505939,1467112,26,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2021,1679568,1405498,26,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2022,1983891,1622234,26,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Michigan,2023,2471768,2100832,26,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2015,1225943,739387,27,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2016,1403704,1057875,27,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2017,1056937,982357,27,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2018,991426,837081,27,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2019,1197615,988626,27,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2020,1265830,1031346,27,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2021,1263727,1027207,27,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2022,1212303,955177,27,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Minnesota,2023,1433622,1084645,27,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2015,716925,567067,28,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2016,725208,572577,28,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2017,860884,700257,28,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2018,710243,575296,28,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2019,708631,581001,28,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2020,689563,559242,28,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2021,712097,573422,28,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2022,696862,555791,28,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Mississippi,2023,939676,799520,28,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2015,869878,731542,29,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2016,759083,635376,29,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2017,758828,615530,29,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2018,919865,758946,29,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2019,805193,713146,29,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
