time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
201999,24,3,5,Maryland,12053,12053,2733697,76,152,20783,25,95,15116,119,6191,984427,11918,11918,2707205,76,152,20783,25,95,15116,119,6191,984427,2019
202099,24,3,5,Maryland,12993,12993,2992616,89,178,24504,7,23,3475,96,4788,832946,12739,12739,2938230,88,176,24260,6,20,2616,88,4674,817408,2020
202199,24,3,5,Maryland,12520,12520,3201070,25,50,7295,19,70,12150,185,5856,791012,12314,12314,3170573,19,38,6275,19,70,12150,173,5794,783069,2021
202299,24,3,5,Maryland,10117,10117,2852446,45,90,14772,11,40,6101,614,12613,1739129,10084,10084,2846457,45,90,14772,11,40,6101,614,12613,1739129,2022
202399,24,3,5,Maryland,10490,10490,2932201,9,18,3854,14,56,9083,152,7889,1339136,10392,10392,2909678,9,18,3854,14,56,9083,152,7889,1339136,2023
201599,25,1,1,Massachusetts,6922,6922,2032508,230,460,70513,99,318,50982,270,9724,1826518,5744,5744,1755716,206,412,63872,85,273,46236,160,8479,1682273,2015
201699,25,1,1,Massachusetts,7641,7641,2376986,270,540,88942,88,301,62612,261,7806,1417907,6183,6183,1985322,227,454,74898,85,291,60400,161,6957,1293606,2016
201799,25,1,1,Massachusetts,7278,7278,2292649,266,532,86988,87,288,56650,303,9630,1656129,6102,6102,1968574,213,426,70064,82,273,54348,207,8640,1521191,2017
201899,25,1,1,Massachusetts,7169,7169,2350756,327,654,108422,112,380,78289,289,8841,1620497,5846,5846,1989323,254,508,85539,109,370,77452,185,7311,1415063,2018
201999,25,1,1,Massachusetts,6292,6292,2094983,284,568,114782,126,419,80811,665,10086,1388625,5124,5124,1678700,259,518,107321,121,404,79619,575,8174,1096969,2019
202099,25,1,1,Massachusetts,6754,6754,2209662,314,628,119617,91,304,60015,482,9339,2372192,4453,4453,1587219,265,530,97979,79,267,53919,154,6100,2014085,2020
202199,25,1,1,Massachusetts,7231,7231,2839909,351,702,151654,100,330,64855,594,11590,1885376,5672,5672,2398092,329,658,142694,89,297,58633,201,7931,1516613,2021
202299,25,1,1,Massachusetts,6232,6232,2712193,317,634,140496,115,379,86510,329,9585,2289237,4931,4931,2366824,293,586,132180,109,361,82861,198,8094,2054834,2022
202399,25,1,1,Massachusetts,5075,5075,2379576,241,482,105670,107,358,105787,273,7299,1826146,4062,4062,1954055,213,426,95359,106,355,105187,192,6713,1733452,2023
201599,26,2,3,Michigan,13398,13398,3268392,177,354,49617,68,252,32287,243,4222,500174,11977,11977,2978216,142,284,41601,58,218,30539,224,3895,475976,2015
201699,26,2,3,Michigan,14534,14534,3574943,266,532,58127,67,240,29388,263,5102,609349,13006,13006,3270928,232,464,50287,57,207,26388,243,4340,493944,2016
201799,26,2,3,Michigan,16652,16652,4122115,129,258,34923,119,438,54906,325,6275,676070,14707,14707,3726888,102,204,28197,111,408,52522,299,5865,629450,2017
201899,26,2,3,Michigan,15633,15633,4067564,162,324,50146,106,394,53416,199,3229,398242,14229,14229,3766144,133,266,43332,93,349,49090,186,3069,380741,2018
201999,26,2,3,Michigan,14623,14623,3823113,122,244,41823,152,567,86054,293,5166,629496,12933,12933,3439971,117,234,40431,137,517,81048,277,4677,571392,2019
202099,26,2,3,Michigan,15154,15154,3930533,234,468,69883,110,391,67129,175,3722,512113,12903,12903,3428722,227,454,67365,67,239,41496,122,2928,414184,2020
202199,26,2,3,Michigan,16760,16760,4766835,212,424,81488,117,421,67505,207,4127,768513,14206,14206,4191455,201,402,79145,95,345,58250,187,3580,703279,2021
202299,26,2,3,Michigan,14809,14809,4676727,203,406,71647,164,599,90840,300,5966,1033491,12768,12768,4231293,190,380,69113,144,531,84028,272,5723,998969,2022
202399,26,2,3,Michigan,14413,14413,4483976,267,534,71303,129,482,93840,314,5163,1001414,12307,12307,3997979,252,504,65305,119,452,88584,263,4634,928167,2023
201599,27,2,4,Minnesota,10900,10900,2930164,49,98,13825,86,332,36613,191,8215,1154487,10309,10309,2813158,46,92,13285,81,316,35043,164,7937,1133268,2015
201699,27,2,4,Minnesota,12071,12071,3328331,62,124,18288,58,215,32332,184,9039,1214090,11347,11347,3180027,58,116,17128,46,174,27733,145,8627,1177328,2016
201799,27,2,4,Minnesota,13508,13508,3604299,71,142,25768,45,174,27470,140,8129,1160880,12656,12656,3409088,70,140,25418,43,166,26818,124,7917,1144770,2017
201899,27,2,4,Minnesota,13574,13574,3755437,98,196,30882,52,197,35093,206,11706,1899401,12669,12669,3544814,96,192,30182,52,197,35093,194,11579,1891181,2018
201999,27,2,4,Minnesota,13709,13709,3882049,93,186,35787,51,190,33807,199,14501,2196264,13206,13206,3775455,93,186,35787,50,186,33432,186,14339,2185461,2019
202099,27,2,4,Minnesota,14707,14707,4213115,158,316,52111,71,272,46041,216,12853,1868044,13862,13862,4030848,155,310,50711,70,268,45317,193,12609,1846609,2020
202199,27,2,4,Minnesota,16704,16704,5145714,177,354,72540,75,283,59111,299,16311,2448768,15414,15414,4835294,176,352,72282,71,271,56542,270,16002,2422703,2021
202299,27,2,4,Minnesota,13483,13483,4446521,127,254,51119,80,298,68976,318,17091,2983727,12706,12706,4255005,119,238,49338,79,294,68226,286,16777,2963224,2022
202399,27,2,4,Minnesota,12770,12770,4321115,127,254,51022,63,233,54903,276,12410,2267171,12090,12090,4138775,117,234,48683,61,227,54453,228,12034,2228556,2023
201599,28,3,6,Mississippi,5608,5608,988006,121,242,13866,19,65,5042,68,930,71224,4150,4150,770951,110,220,11740,2,8,60,38,696,57475,2015
201699,28,3,6,Mississippi,6142,6142,1063943,37,74,7448,32,115,8090,53,555,46431,4619,4619,830142,29,58,5874,12,46,4080,15,148,18873,2016
201799,28,3,6,Mississippi,6531,6531,1160107,54,108,13667,29,102,10385,53,740,71105,5154,5154,964595,47,94,12339,17,61,7192,18,338,42281,2017
